promotor
Gotec
Case à Chocs
Spook Club
Fabrik
Blow
Shelter Amsterdam
"Fri, Nov 4, 2022"
"Fri, Nov 4, 2022"
Headquarters
The Warehouse
Tresor / Globus
Parc des Expositions de Poitiers
"Fri, Dec 2, 2022"
Toffler
La Riviera
E1
Glazart
Ciało
Community Park APS
PAL
date,Event,Location,Country,Venue,Acts,promotor
,Antigone,,NL,Karlsruhe,,Gotec
,,,NL,Switzerland,,Case à Chocs
,Ben Klock,,NL,East,,Spook Club
,Carl Cox,,NL,Madrid,,Fabrik
,,,NL,Buenos Aires,,Blow
,,,NL,Amsterdam,,Shelter Amsterdam
,,,NL,New South Wales,,"Fri, Nov 4, 2022"
,,,NL,Sydney,,"Fri, Nov 4, 2022"
,,,NL,Singapore,,Headquarters
,,,NL,Vietnam,,The Warehouse
,Amotik,,NL,Berlin,,Tresor / Globus
,,,NL,West,,Parc des Expositions de Poitiers
,Antigone,,NL,Poland,,"Fri, Dec 2, 2022"
,,,NL,Rotterdam,,Toffler
,,,NL,Madrid,,La Riviera
,,,NL,London,,E1
,,,NL,Paris,,Glazart
,,,NL,Poland,,Ciało
,,,NL,Florence,,Community Park APS
,Antigone,,NL,Hamburg,,PAL
